Problem,n,Method,Case,h_mode,k_fd,tol,start_type,point_id,run_id,GradNorm,Iterations,MaxIterations,InnerMaxIterations,Success,flag,ConvergenceRate,TimeSeconds,FinalF,PathLen,LastStep
p52,2,nm,Exact,,,1e-06,initial,xbar,1,4.53370709652732e-12,1000,1000,,True,-,1.9366417935630067,0.007828950881958008,1.0064849492204639e-25,7,1.3336489563676344e-07
p52,2,tr,Exact,,,1e-06,initial,xbar,1,3.6767881261939184e-07,13,1000,1000.0,True,-,0.9956823426126614,0.006256818771362305,7.37708771584368,14,1.6165204948462052e-07
p52,2,nm,Exact,,,1e-06,random,rand1,2,3.75969948319693e-07,1000,1000,,True,-,0.9964584832562282,0.009876251220703125,7.37708771584368,15,1.5672933767351963e-07
p52,2,tr,Exact,,,1e-06,random,rand1,2,3.7693900424408226e-07,14,1000,1000.0,True,-,0.9963971677961563,0.006554126739501953,7.377087715843677,15,1.5779522479636244e-07
p52,2,nm,Exact,,,1e-06,random,rand2,3,9.72604198861685e-07,1000,1000,,True,-,2.0222505015104546,0.009366035461425781,4.6319102631360636e-15,12,6.17728946691296e-05
p52,2,tr,Exact,,,1e-06,random,rand2,3,7.78995018920523e-11,9,1000,1000.0,True,-,2.6039478611471427,0.0037009716033935547,2.9705414686848924e-23,10,5.67149743852995e-07
p52,2,nm,Exact,,,1e-06,random,rand3,4,2.2909929827435344e-12,1000,1000,,True,-,1.9634838023448946,0.003910064697265625,2.5692016391690523e-26,6,1.0576666838684001e-07
p52,2,tr,Exact,,,1e-06,random,rand3,4,9.381430871625752e-10,5,1000,1000.0,True,-,1.8935655007731083,0.0026848316192626953,4.308139751866223e-21,6,2.146314051206007e-06
p52,2,nm,Exact,,,1e-06,random,rand4,5,8.792261825862676e-07,1000,1000,,True,-,0.9964200476925271,0.008610010147094727,7.377087715843722,14,3.6805408750226133e-07
p52,2,tr,Exact,,,1e-06,random,rand4,5,7.243972901902956e-07,13,1000,1000.0,True,-,0.994293694950005,0.0057070255279541016,7.377087715843714,14,3.638091513084048e-07
p52,2,nm,Exact,,,1e-06,random,rand5,6,2.8654493136242657e-07,1000,1000,,True,-,1.6307087056875467,0.00431513786315918,4.020232008709742e-16,6,3.3596359059515676e-05
p52,2,tr,Exact,,,1e-06,random,rand5,6,5.165923288765529e-07,14,1000,1000.0,True,-,0.9982853733578099,0.00657200813293457,7.377087715843685,15,1.9209476121466534e-07
p52,2,nm,Mixed FD,scalar,4.0,1e-06,initial,xbar,7,1.4561831489025997e-09,1000,1000,,True,-,1.777526426774383,0.004224061965942383,1.0383688038338758e-20,7,5.6136886060568095e-08
p52,2,tr,Mixed FD,scalar,4.0,1e-06,initial,xbar,7,4.058228988711328e-08,7,1000,1000.0,True,-,2.025405743382108,0.0036759376525878906,7.37708771584367,8,1.3011490667291175e-05
p52,2,nm,Mixed FD,scalar,4.0,1e-06,random,rand1,8,1.3455062327099913e-08,1000,1000,,True,-,2.0518576829492834,0.0036439895629882812,7.377087715843668,8,3.903848683935384e-06
p52,2,tr,Mixed FD,scalar,4.0,1e-06,random,rand1,8,3.665718327032945e-08,7,1000,1000.0,True,-,1.6165559333842943,0.0031278133392333984,7.37708771584367,8,2.3644781662689666e-05
p52,2,nm,Mixed FD,scalar,4.0,1e-06,random,rand2,9,2.2317254761010053e-07,1000,1000,,True,-,1.1572279434269461,0.04702186584472656,2.4369327160571673e-16,10,8.236747822810101e-06
p52,2,tr,Mixed FD,scalar,4.0,1e-06,random,rand2,9,1.9314948099951067e-08,9,1000,1000.0,True,-,5.876770127265777,0.012542009353637695,1.835222317209465e-18,10,1.219254626273817e-06
p52,2,nm,Mixed FD,scalar,4.0,1e-06,random,rand3,10,6.434543057889496e-08,1000,1000,,True,-,1.853223524977102,0.003922939300537109,2.028485681864737e-17,6,2.6312576236689716e-06
p52,2,tr,Mixed FD,scalar,4.0,1e-06,random,rand3,10,7.794607707850091e-08,5,1000,1000.0,True,-,1.7127042911289652,0.0018930435180664062,2.980192243245158e-17,6,3.882342143140255e-06
p52,2,nm,Mixed FD,scalar,4.0,1e-06,random,rand4,11,6.725754229311748e-07,1000,1000,,True,-,1.9649300381803148,0.0048029422760009766,7.377087715843726,7,0.00019528806791250844
p52,2,tr,Mixed FD,scalar,4.0,1e-06,random,rand4,11,9.760529036878253e-07,6,1000,1000.0,True,-,1.8804912186820326,0.0029850006103515625,7.377087715843792,7,0.00023594563711077916
p52,2,nm,Mixed FD,scalar,4.0,1e-06,random,rand5,12,1.1035442908589473e-08,1000,1000,,True,-,1.8352906524692838,0.006150245666503906,5.967126936939979e-19,7,4.5236807980942573e-07
p52,2,tr,Mixed FD,scalar,4.0,1e-06,random,rand5,12,8.609924301862839e-07,6,1000,1000.0,True,-,1.8339818937608279,0.002641916275024414,7.377087715843762,7,0.00023850046885739634
p52,2,nm,Mixed FD,scalar,8.0,1e-06,initial,xbar,13,6.97776388155129e-14,1000,1000,,True,-,1.9034770479190444,0.004263877868652344,2.3819901552181333e-29,7,1.4199304433243171e-08
p52,2,tr,Mixed FD,scalar,8.0,1e-06,initial,xbar,13,6.753136522159167e-09,7,1000,1000.0,True,-,1.9921306581831693,0.0028362274169921875,7.377087715843668,8,1.3701918084977224e-05
