,n,rho,C1,norm_gradient,time,final_score,converges,iterations
0,2,0.2,0.2,5.577018880458987e-07,0.014098405838012695,5.892302726636391e-15,True,12
1,1000,0.2,0.2,7.338506970822153e-07,0.025198698043823242,1.4353770819274737e-14,True,16
2,10000,0.2,0.2,7.338506970822154e-07,0.08790183067321777,1.4353770819274733e-14,True,16
3,100000,0.2,0.2,7.338506970822153e-07,1.2027318477630615,1.4353770819274737e-14,True,16
4,2,0.2,0.4,3.526845797916777e-07,0.016759634017944336,2.6840303128641787e-15,True,14
5,1000,0.2,0.4,7.338506970822153e-07,0.025438547134399414,1.4353770819274737e-14,True,16
6,10000,0.2,0.4,7.338506970822154e-07,0.07897663116455078,1.4353770819274733e-14,True,16
7,100000,0.2,0.4,7.338506970822153e-07,0.9968712329864502,1.4353770819274737e-14,True,16
8,2,0.2,0.6,8.766737484129933e-07,0.08391118049621582,2.0154574081497133e-14,True,80
9,1000,0.2,0.6,5.170012421336792e-06,0.11740994453430176,1.5580968451709206e-12,True,77
10,10000,0.2,0.6,1.551945137790665e-05,0.3774726390838623,1.4940867530007876e-11,True,77
11,100000,0.2,0.6,4.8806729017785226e-05,4.492296457290649,1.4876857437837682e-10,True,77
12,2,0.2,0.8,8.372509440980717e-07,0.0975794792175293,1.8361873569540977e-14,True,90
13,1000,0.2,0.8,5.170012421336792e-06,0.11767697334289551,1.5580968451709206e-12,True,77
14,10000,0.2,0.8,1.551945137790665e-05,0.3704087734222412,1.4940867530007876e-11,True,77
15,100000,0.2,0.8,4.8806729017785226e-05,4.418543100357056,1.4876857437837682e-10,True,77
16,2,0.4,0.2,5.577018880458987e-07,0.016339778900146484,5.892302726636391e-15,True,12
17,1000,0.4,0.2,7.338506970822153e-07,0.025076866149902344,1.4353770819274737e-14,True,16
18,10000,0.4,0.2,7.338506970822154e-07,0.07861638069152832,1.4353770819274733e-14,True,16
19,100000,0.4,0.2,7.338506970822153e-07,0.9156718254089355,1.4353770819274737e-14,True,16
20,2,0.4,0.4,3.313372488070706e-07,0.016787052154541016,2.4702978894925087e-15,True,13
21,1000,0.4,0.4,7.338506970822153e-07,0.02499556541442871,1.4353770819274737e-14,True,16
22,10000,0.4,0.4,7.338506970822154e-07,0.08052992820739746,1.4353770819274733e-14,True,16
23,100000,0.4,0.4,7.338506970822153e-07,0.9036624431610107,1.4353770819274737e-14,True,16
24,2,0.4,0.6,1.0422147801445498e-06,0.03941082954406738,1.4490751871686675e-14,True,36
25,1000,0.4,0.6,3.382902132759197e-06,0.05425596237182617,6.186096442418046e-13,True,35
26,10000,0.4,0.6,9.289799688803521e-06,0.1742386817932129,5.297131457029543e-12,True,35
27,100000,0.4,0.6,2.889401135946282e-05,1.9986796379089355,5.208234958490717e-11,True,35
28,2,0.4,0.8,9.902995670647085e-07,0.0837242603302002,2.1673363892163712e-14,True,78
29,1000,0.4,0.8,5.416466244827852e-06,0.12648630142211914,1.6975107312586512e-12,True,80
30,10000,0.4,0.8,1.677931087341334e-05,0.36041259765625,1.7438266026608113e-11,True,74
31,100000,0.4,0.8,4.6514187559834684e-05,3.9122509956359863,1.3508485340024462e-10,True,67
32,2,0.6,0.2,5.577018880458987e-07,0.01562809944152832,5.892302726636391e-15,True,12
33,1000,0.6,0.2,7.338506970822153e-07,0.024845600128173828,1.4353770819274737e-14,True,16
34,10000,0.6,0.2,7.338506970822154e-07,0.07818174362182617,1.4353770819274733e-14,True,16
35,100000,0.6,0.2,7.338506970822153e-07,0.9033024311065674,1.4353770819274737e-14,True,16
36,2,0.6,0.4,2.2274623040500718e-07,0.014739513397216797,1.370635588996263e-15,True,13
