,n,C1,rho,norm_gradient,time,final_score,converges,iterations
0,2,0.2,0.2,5.577018880458987e-07,0.03034830093383789,5.892302726636391e-15,True,12
1,1000,0.2,0.2,8.851308668237188e-07,0.10524344444274902,2.3706374704529056e-14,True,19
2,10000,0.2,0.2,7.861668483059093e-07,0.446885347366333,1.9330706724969183e-14,True,19
3,100000,0.2,0.2,8.226383410682898e-07,5.204530239105225,2.0353514614570246e-14,True,19
4,2,0.4,0.2,3.526845797916777e-07,0.031487226486206055,2.6840303128641787e-15,True,14
5,1000,0.4,0.2,8.851308668237188e-07,0.10533952713012695,2.3706374704529056e-14,True,19
6,10000,0.4,0.2,7.861668483059093e-07,0.44908905029296875,1.9330706724969183e-14,True,19
7,100000,0.4,0.2,8.226383410682898e-07,5.108875751495361,2.0353514614570246e-14,True,19
8,2,0.6,0.2,8.766737484129933e-07,0.1773226261138916,2.0154574081497133e-14,True,80
9,1000,0.6,0.2,8.649534420601739e-07,0.5389852523803711,2.427222300158174e-14,True,93
10,10000,0.6,0.2,9.084795815312073e-07,2.010206699371338,2.4991663724585806e-14,True,98
11,100000,0.6,0.2,9.599389525210823e-07,21.47300362586975,2.7117308215261506e-14,True,102
12,2,0.8,0.2,8.372509440980717e-07,0.2007734775543213,1.8361873569540977e-14,True,90
13,1000,0.8,0.2,8.649534420601739e-07,0.54860520362854,2.427222300158174e-14,True,93
14,10000,0.8,0.2,9.084795815312073e-07,2.0149881839752197,2.4991663724585806e-14,True,98
15,100000,0.8,0.2,9.599389525210823e-07,21.628349781036377,2.7117308215261506e-14,True,102
16,2,0.2,0.4,5.577018880458987e-07,0.030081748962402344,5.892302726636391e-15,True,12
17,1000,0.2,0.4,8.851308668237188e-07,0.1055765151977539,2.3706374704529056e-14,True,19
18,10000,0.2,0.4,7.861668483059093e-07,0.3975977897644043,1.9330706724969183e-14,True,19
19,100000,0.2,0.4,8.226383410682898e-07,4.77366042137146,2.0353514614570246e-14,True,19
20,2,0.4,0.4,3.313372488070706e-07,0.028847694396972656,2.4702978894925087e-15,True,13
21,1000,0.4,0.4,8.851308668237188e-07,0.10463380813598633,2.3706374704529056e-14,True,19
22,10000,0.4,0.4,7.861668483059093e-07,0.3984251022338867,1.9330706724969183e-14,True,19
23,100000,0.4,0.4,8.226383410682898e-07,4.787365674972534,2.0353514614570246e-14,True,19
24,2,0.6,0.4,6.490939171041873e-07,0.08115863800048828,5.4624385721266435e-15,True,37
25,1000,0.6,0.4,9.439029760582871e-07,0.2444310188293457,2.8745979531121653e-14,True,43
26,10000,0.6,0.4,8.704162213557801e-07,0.9148902893066406,2.941531435646073e-14,True,46
27,100000,0.6,0.4,8.595344054777415e-07,10.122387647628784,2.611660073345297e-14,True,48
28,2,0.8,0.4,9.902995670647085e-07,0.17377400398254395,2.1673363892163712e-14,True,78
29,1000,0.8,0.4,8.738766373901969e-07,0.6184313297271729,2.5449680721825123e-14,True,98
30,10000,0.8,0.4,9.565194521043842e-07,2.217090368270874,2.8316499851856546e-14,True,102
31,100000,0.8,0.4,9.755725568200554e-07,23.822312593460083,2.973835109782269e-14,True,106
32,2,0.2,0.6,5.577018880458987e-07,0.03042769432067871,5.892302726636391e-15,True,12
