,method,tol,n,time,iterations,converges,final_score,norm_gradient
0,Newton Random Points,0.0001,2,0.034917163848876956,9.4,True,7.565916796476196e-11,4.7281776644131923e-05
1,Newton Random Points,0.0001,1000,0.11367673873901367,15.6,True,1.7690610597447894e-09,0.0002593285985928163
2,Newton Random Points,0.0001,10000,0.48659753799438477,16.8,True,1.6802412421247484e-09,0.00023739436084835403
3,Newton Random Points,0.0001,100000,5.771297836303711,16.2,True,5.055527203223624e-08,0.0010828566463728523
4,Newton Random Points,1e-06,2,0.013515758514404296,12.4,True,1.099087316266516e-14,5.374511080384808e-07
5,Newton Random Points,1e-06,1000,0.051926183700561526,20.6,True,1.278548941682051e-13,2.1875824412404254e-06
6,Newton Random Points,1e-06,10000,0.1586777687072754,21.4,True,3.208643015942766e-13,3.0859269204740913e-06
7,Newton Random Points,1e-06,100000,2.2208287715911865,21.0,True,3.948146370086036e-12,1.0161552722513446e-05
8,Newton Random Points,1e-08,2,0.016553592681884766,15.6,True,5.886389421204593e-19,4.094985944567801e-09
9,Newton Random Points,1e-08,1000,0.052430915832519534,25.4,True,1.60387175517076e-17,2.3697852637958998e-08
10,Newton Random Points,1e-08,10000,0.19488511085510254,26.0,True,6.039900577816485e-17,4.257161969626452e-08
11,Newton Random Points,1e-08,100000,2.3479501724243166,26.0,True,3.0214706959769053e-16,8.876878022928802e-08
