,method,tol,n,time,iterations,converges,final_score,norm_gradient,conv,path
0,Newton Initial Points,1e-06,2,0.014838695526123047,12,True,5.892302726636391e-15,5.577018880458987e-07,0.7344373373564915,"[array([-1., -1.]), array([-0.72394112, -0.61850406]), array([-0.54106429, -0.42988761]), array([-0.4593588 , -0.37610709]), array([-0.44876412, -0.38085579]), array([-0.45277158, -0.38564002]), array([-0.45349538, -0.38564374]), array([-0.45332566, -0.38540514]), array([-0.45328073, -0.38539304]), array([-0.453287  , -0.38540444]), array([-0.45328958, -0.38540563]), array([-0.45328939, -0.38540511]), array([-0.45328925, -0.38540503])]"
1,Newton Initial Points,1e-06,1000,0.05146217346191406,16,True,1.4353770819274737e-14,7.338506970822153e-07,1.1617497626293507,"[np.float64(6.335198195432474), np.float64(2.5042575994266585), np.float64(0.44036638883868406), np.float64(0.024021541952962203), np.float64(0.0066160502624162554), np.float64(0.002359170551485965), np.float64(0.0007400337835448015), np.float64(0.00030733508336171315), np.float64(9.647421293339509e-05), np.float64(4.0617856938756894e-05), np.float64(1.3686128748426275e-05), np.float64(5.401763284627876e-06), np.float64(2.0083286072326173e-06), np.float64(7.312317676016625e-07), np.float64(2.946053733928736e-07), np.float64(1.024625461368639e-07)]"
2,Newton Initial Points,1e-06,10000,0.14503121376037598,16,True,1.4353770819274733e-14,7.338506970822154e-07,1.1617497626293507,"[np.float64(20.00336812077919), np.float64(7.890513114957924), np.float64(1.36521637214861), np.float64(0.04476727171295282), np.float64(0.006616127274160727), np.float64(0.002359170551485965), np.float64(0.0007400337835448015), np.float64(0.00030733508336171315), np.float64(9.647421293339509e-05), np.float64(4.06178569387569e-05), np.float64(1.3686128748426275e-05), np.float64(5.401763284627876e-06), np.float64(2.0083286072326173e-06), np.float64(7.312317676016625e-07), np.float64(2.946053733928736e-07), np.float64(1.024625461368639e-07)]"
3,Newton Initial Points,1e-06,100000,1.2385640144348145,16,True,1.4353770819274737e-14,7.338506970822153e-07,1.1617497626293505,"[np.float64(63.246618377391236), np.float64(24.942916993561344), np.float64(4.3084507199712245), np.float64(0.12757292034305556), np.float64(0.006616897342308238), np.float64(0.0023591705514859657), np.float64(0.0007400337835448015), np.float64(0.00030733508336171315), np.float64(9.647421293339509e-05), np.float64(4.0617856938756894e-05), np.float64(1.3686128748426275e-05), np.float64(5.401763284627875e-06), np.float64(2.0083286072326173e-06), np.float64(7.312317676016626e-07), np.float64(2.946053733928736e-07), np.float64(1.024625461368639e-07)]"
0,Truncated Newton Initial Points,1e-06,2,0.011068105697631836,12,True,1.399691359079709e-14,7.264481133962953e-07,0.9171907339103861,"[[-1.         -1.        ]
 [-0.83648343 -0.61164815]
 [-0.59745706 -0.54979901]
 [-0.5017237  -0.41502163]
 [-0.45592449 -0.38039057]
 [-0.45174383 -0.3839727 ]
 [-0.45314781 -0.38551113]
 [-0.45336033 -0.38548219]
 [-0.45329996 -0.38540359]
 [-0.45328623 -0.38540109]
 [-0.45328857 -0.38540493]
 [-0.45328938 -0.38540524]
 [-0.4532893  -0.38540507]]"
1,Truncated Newton Initial Points,1e-06,1000,0.02481865882873535,20,True,7.778237307561833e-15,5.998101554895188e-07,1.0037383076464954,"[np.float64(6.003550692656336), np.float64(2.671240023522565), np.float64(0.2959514672577536), np.float64(0.5663041960823175), np.float64(0.11255280327043755), np.float64(0.04268152759443632), np.float64(0.02130741818649434), np.float64(0.011043873619128739), np.float64(0.007870054869689872), np.float64(0.0013704855311336608), np.float64(0.0006948807535303945), np.float64(0.00019048651218050755), np.float64(6.796305893033075e-05), np.float64(2.4830978445982938e-05), np.float64(9.208751674406492e-06), np.float64(3.4256704669353487e-06), np.float64(1.2909173085443433e-06), np.float64(4.85501033214215e-07), np.float64(1.8375330342595149e-07), np.float64(6.929513650376935e-08)]"
2,Truncated Newton Initial Points,1e-06,10000,0.0810244083404541,20,True,7.177041245254737e-15,5.780132900298913e-07,0.9955935407497903,"[np.float64(19.88863243024772), np.float64(7.936981458768567), np.float64(1.4731379837207284), np.float64(0.15325227746852915), np.float64(0.09856539601330565), np.float64(0.03664043124464811), np.float64(0.01710137805915605), np.float64(0.008703149647678604), np.float64(0.00597120679113494), np.float64(0.0012593795720567756), np.float64(0.0005127642557237967), np.float64(0.0001653756970035158), np.float64(6.165910272619227e-05), np.float64(2.2653461075203725e-05), np.float64(8.488661755747397e-06), np.float64(3.2460415736226453e-06), np.float64(1.1930289919185211e-06), np.float64(4.6182966696134905e-07), np.float64(1.7280783252246114e-07), np.float64(6.494208337888097e-08)]"
3,Truncated Newton Initial Points,1e-06,100000,0.9111185073852539,21,True,5.9627276717434625e-15,5.105275108129622e-07,1.0112577687694502,"[np.float64(63.20999239652501), np.float64(24.957130515420065), np.float64(4.149060626452032), np.float64(0.2616886397405691), np.float64(0.34216275989019107), np.float64(0.11326004359275571), np.float64(0.0712953788490039), np.float64(0.008390987931542153), np.float64(0.005762567701225086), np.float64(0.0035280292570252147), np.float64(0.001069220428063129), np.float64(0.00042289708914881066), np.float64(0.00013916028008562658), np.float64(5.100736299075977e-05), np.float64(1.9230717160937468e-05), np.float64(7.274518264569919e-06), np.float64(2.8081090533507495e-06), np.float64(1.0662023135109469e-06), np.float64(4.1144056365597e-07), np.float64(1.5842516109460373e-07), np.float64(6.034969163389152e-08)]"
0,Newton Random Points,1e-06,2,0.014024639129638672,12.4,True,1.099087316266516e-14,5.374511080384808e-07,1.1545246197979595,"[[array([-1.5996328 , -0.76022539]), array([-0.9652401 , -0.45418831]), array([-0.59305706, -0.33568205]), array([-0.44158732, -0.33998599]), array([-0.4411613 , -0.37860703]), array([-0.45398432, -0.38765067]), array([-0.45392658, -0.3858218 ]), array([-0.45328807, -0.38531378]), array([-0.45325711, -0.38537938]), array([-0.45328771, -0.38540836]), array([-0.4532908 , -0.38540651]), array([-0.45328942, -0.38540496]), array([-0.45328919, -0.38540497]), array([-0.45328925, -0.38540505])], [array([-1.02365334, -0.29381177]), array([-0.60692417, -0.29234433]), array([-0.43823224, -0.33249286]), array([-0.43977496, -0.37850244]), array([-0.45434082, -0.38811314]), array([-0.45400845, -0.38583865]), array([-0.45327499, -0.38529161]), array([-0.45325231, -0.38537738]), array([-0.45328813, -0.38540937]), array([-0.45329107, -0.38540666]), array([-0.45328941, -0.38540492]), array([-0.45328918, -0.38540496]), array([-0.45328925, -0.38540505])], [array([-0.69052661, -0.05081016]), array([-0.57427206, -0.68087788]), array([-0.55727035, -0.48616626]), array([-0.47826635, -0.39448859]), array([-0.45170226, -0.38031778]), array([-0.45186895, -0.38450358]), array([-0.45330649, -0.38561992]), array([-0.45336161, -0.38546078]), array([-0.45329205, -0.38539705]), array([-0.45328576, -0.38540184]), array([-0.45328895, -0.38540529]), array([-0.45328942, -0.38540523]), array([-0.45328929, -0.38540505])], [array([-1.57400677, -0.19162456]), array([-0.91846532, -0.27651108]), array([-0.55483926, -0.29907577]), array([-0.42954619, -0.3426038 ]), array([-0.44512119, -0.38349354]), array([-0.45466204, -0.38762363]), array([-0.45375858, -0.38559094]), array([-0.45324527, -0.38530311]), array([-0.45326339, -0.38539049]), array([-0.45329018, -0.38540945]), array([-0.45329061, -0.38540601]), array([-0.45328929, -0.38540488]), array([-0.4532892, -0.385405 ])], [array([-0.98119634, -1.43899706]), array([-0.8621672 , -0.89090012]), array([-0.65536514, -0.56495234]), array([-0.51223956, -0.41275598]), array([-0.4544356 , -0.37696012]), array([-0.45008425, -0.38268305]), array([-0.45309301, -0.38570369]), array([-0.45344181, -0.38555542]), array([-0.45330684, -0.38539758]), array([-0.45328247, -0.3853971 ]), array([-0.45328804, -0.38540503]), array([-0.45328954, -0.38540545]), array([-0.45328934, -0.38540507]), array([-0.45328925, -0.38540503])]]"
1,Newton Random Points,1e-06,1000,0.04154024124145508,20.6,True,1.272469276048603e-13,2.1692223805686753e-06,0.9993046879186064,"[[np.float64(15.668715100427137), np.float64(8.404552260301093), np.float64(6.877627070348058), np.float64(3.5495673392474743), np.float64(1.5378828355048662), np.float64(0.6616120298075112), np.float64(0.2621202415834242), np.float64(0.08783561568697995), np.float64(0.0288462106322626), np.float64(0.010421749296943674), np.float64(0.0038898178316506215), np.float64(0.0014649261958747492), np.float64(0.0005551346910479488), np.float64(0.00021144302690805024), np.float64(8.081126832953843e-05), np.float64(3.0981589571907144e-05), np.float64(1.1900846412721549e-05), np.float64(4.580984835688175e-06), np.float64(1.7657611393716256e-06), np.float64(6.815520988648554e-07), np.float64(2.6337106828142984e-07)], [np.float64(15.972196385123443), np.float64(8.129140384670638), np.float64(5.67390264936335), np.float64(2.6167609808491075), np.float64(1.0117125603072545), np.float64(0.36268378564378356), np.float64(0.1180268797707632), np.float64(0.04022201843413067), np.float64(0.014676454601240375), np.float64(0.00547703500789822), np.float64(0.0020609786636649904), np.float64(0.0007801771725000606), np.float64(0.00029672852113845125), np.float64(0.00011323483784116036), np.float64(4.333949690282043e-05), np.float64(1.6622034942241637e-05), np.float64(6.387548535757361e-06), np.float64(2.4583044684743642e-06), np.float64(9.473560516835464e-07), np.float64(3.655079388402526e-07)], [np.float64(16.739148974750776), np.float64(11.18875280618644), np.float64(6.0656146413651975), np.float64(3.0201021729356814), np.float64(1.3796668082411239), np.float64(0.6206948439960787), np.float64(0.23421356096956022), np.float64(0.07483561934438682), np.float64(0.025181487713202257), np.float64(0.00919056343291612), np.float64(0.0034273043332378604), np.float64(0.0012879528169109748), np.float64(0.00048697612029026605), np.float64(0.00018500349877409493), np.float64(7.05481394391465e-05), np.float64(2.6975539184347264e-05), np.float64(1.0341016408957582e-05), np.float64(3.970934166447435e-06), np.float64(1.5277803564260842e-06), np.float64(5.884752830837749e-07), np.float64(2.269974621746068e-07)], [np.float64(16.70941787582188), np.float64(8.195588299973547), np.float64(5.959503155968693), np.float64(2.7368681647037802), np.float64(1.0542567933376783), np.float64(0.3872884065696362), np.float64(0.12913799260264136), np.float64(0.04314310134068213), np.float64(0.015603472755537019), np.float64(0.00580506581862942), np.float64(0.0021833358130773617), np.float64(0.00082667200224593), np.float64(0.0003144679401733898), np.float64(0.0001200991371497724), np.float64(4.604391513462665e-05), np.float64(1.7655676830839414e-05), np.float64(6.806567187922503e-06), np.float64(2.617293446028213e-06), np.float64(1.011830954920495e-06), np.float64(3.9051214968417417e-07)], [np.float64(11.863511966539626), np.float64(11.181453654081036), np.float64(6.164786076159248), np.float64(2.9675895931564673), np.float64(1.2040841784992453), np.float64(0.5049287421028187), np.float64(0.17885211716256574), np.float64(0.05716792747757802), np.float64(0.020062333455414715), np.float64(0.0074097907722949115), np.float64(0.0027708821374920227), np.float64(0.0010432947292076918), np.float64(0.00039492147043142256), np.float64(0.00015013031790517023), np.float64(5.725682052535448e-05), np.float64(2.1892457148239182e-05), np.float64(8.38907685974742e-06), np.float64(3.220266041305519e-06), np.float64(1.238141989941236e-06), np.float64(4.7665778643916223e-07), np.float64(1.8373026688593236e-07)]]"
