,n,k,norm_gradient,time,final_score,converges,iterations,path
0,2,4,7.791188625997341e-07,0.02853989601135254,2.7698361944286755e-14,True,12,"[[-1.         -1.        ]
 [-0.72432892 -0.60649742]
 [-0.53979628 -0.41568733]
 [-0.45752392 -0.37027109]
 [-0.44853196 -0.38174557]
 [-0.45312752 -0.38630336]
 [-0.45357383 -0.38561554]
 [-0.45329903 -0.38535232]
 [-0.45327256 -0.38539268]
 [-0.45328869 -0.38540815]
 [-0.45329024 -0.38540578]
 [-0.4532893  -0.38540487]
 [-0.45328921 -0.38540501]]"
1,2,8,7.779773240847868e-07,0.02578115463256836,2.7695943286809816e-14,True,12,"[[-1.         -1.        ]
 [-0.72435897 -0.60653235]
 [-0.53983163 -0.41571927]
 [-0.45754165 -0.37027822]
 [-0.44853152 -0.38174071]
 [-0.45312573 -0.3863022 ]
 [-0.45357381 -0.38561592]
 [-0.45329918 -0.38535243]
 [-0.45327257 -0.38539265]
 [-0.45328868 -0.38540814]
 [-0.45329024 -0.38540578]
 [-0.4532893  -0.38540487]
 [-0.45328921 -0.38540501]]"
2,2,12,7.76676770727093e-07,0.02499103546142578,2.7616881963590298e-14,True,12,"[[-1.         -1.        ]
 [-0.72435724 -0.60653697]
 [-0.53980583 -0.41571466]
 [-0.45754841 -0.3702868 ]
 [-0.4485322  -0.38173954]
 [-0.45312539 -0.38630176]
 [-0.45357363 -0.38561584]
 [-0.45329918 -0.3853525 ]
 [-0.45327259 -0.38539266]
 [-0.45328868 -0.38540814]
 [-0.45329024 -0.38540578]
 [-0.4532893  -0.38540487]
 [-0.45328921 -0.38540501]]"
3,1000,4,9.994149531781326e-07,0.10703897476196289,1.9975748612067656e-14,True,20,"[np.float64(6.321403611586239), np.float64(2.466086125390563), np.float64(0.3961316350510338), np.float64(0.13274920491101053), np.float64(0.1209686895500927), np.float64(0.03323381750837006), np.float64(0.015539226442994856), np.float64(0.005015065580366819), np.float64(0.0018852715051200645), np.float64(0.0007657407440087323), np.float64(0.0002584705233582024), np.float64(0.0001115750171398088), np.float64(3.952960976718541e-05), np.float64(1.6711676335781315e-05), np.float64(6.181670762702178e-06), np.float64(2.591659204346582e-06), np.float64(9.867740529804103e-07), np.float64(4.0437703923534e-07), np.float64(1.5525696949812654e-07), np.float64(4.180907131106642e-08)]"
4,1000,8,9.97883896005194e-07,0.10439586639404297,1.9898605179629987e-14,True,20,"[np.float64(6.320268895243722), np.float64(2.4664166626380366), np.float64(0.3966500588509271), np.float64(0.13283941491109308), np.float64(0.1210519951975046), np.float64(0.033211915554357166), np.float64(0.01551975235211891), np.float64(0.005002455369782548), np.float64(0.0018852218446435223), np.float64(0.0007661189623618378), np.float64(0.0002584526444064066), np.float64(0.00011154631833851206), np.float64(3.949752949134741e-05), np.float64(1.6696064113794413e-05), np.float64(6.174808864231552e-06), np.float64(2.5882876330065156e-06), np.float64(9.854670947221112e-07), np.float64(4.037128379321929e-07), np.float64(1.5503317835157727e-07), np.float64(4.171741931280355e-08)]"
5,1000,12,9.989329640115747e-07,0.1048593521118164,1.9933741817221917e-14,True,20,"[np.float64(6.320828283479083), np.float64(2.4666415173221106), np.float64(0.39600949143381997), np.float64(0.13274076063913137), np.float64(0.12098060031592765), np.float64(0.033204716584910914), np.float64(0.015523236452363138), np.float64(0.005004586064517663), np.float64(0.001884591043241514), np.float64(0.0007657699705714955), np.float64(0.0002584335071648725), np.float64(0.0001115510624533565), np.float64(3.9527565333309e-05), np.float64(1.6706628846216492e-05), np.float64(6.1818280768067816e-06), np.float64(2.590822493184125e-06), np.float64(9.866580104691465e-07), np.float64(4.040742957532211e-07), np.float64(1.5522434027549027e-07), np.float64(4.1730932556071634e-08)]"
6,10000,4,9.490649641321785e-07,0.5421786308288574,3.410503220553098e-14,True,19,"[np.float64(20.002180630672065), np.float64(7.876372603992671), np.float64(1.266397245791202), np.float64(0.18589342447918636), np.float64(0.14531563085903512), np.float64(0.03212629260371297), np.float64(0.014228347866551382), np.float64(0.004454002859962487), np.float64(0.0016549461440270531), np.float64(0.0006035566303673316), np.float64(0.00022228945145150167), np.float64(8.862400871783918e-05), np.float64(3.395558230249952e-05), np.float64(1.2734529223602572e-05), np.float64(5.329596906196571e-06), np.float64(2.0284067855138e-06), np.float64(7.783351262553059e-07), np.float64(3.229192600308034e-07), np.float64(1.1013642831520319e-07)]"
7,10000,8,9.479305612615563e-07,0.5326964855194092,3.402383774179168e-14,True,19,"[np.float64(19.99858164838652), np.float64(7.877296463809908), np.float64(1.2687636367512996), np.float64(0.18595216112220497), np.float64(0.14540882944618697), np.float64(0.032105588621782956), np.float64(0.014227892212174817), np.float64(0.004445384831897891), np.float64(0.0016572106421743034), np.float64(0.0006036866531009166), np.float64(0.00022248146598921714), np.float64(8.86330370335104e-05), np.float64(3.396530841976294e-05), np.float64(1.2734880945244565e-05), np.float64(5.3287800262719584e-06), np.float64(2.027667082693903e-06), np.float64(7.778455381498873e-07), np.float64(3.227270893854195e-07), np.float64(1.1002931787880649e-07)]"
8,10000,12,9.49509111817044e-07,0.5195715427398682,3.41272746192146e-14,True,19,"[np.float64(20.000355576415956), np.float64(7.876680050468224), np.float64(1.2673781678450151), np.float64(0.18594665646814762), np.float64(0.1455476862513019), np.float64(0.03212592103091864), np.float64(0.01424087799474048), np.float64(0.004446150025240538), np.float64(0.0016587724982607822), np.float64(0.0006041488244600809), np.float64(0.0002226943568882746), np.float64(8.870250702374736e-05), np.float64(3.4005841148029075e-05), np.float64(1.274747469918599e-05), np.float64(5.33491708467147e-06), np.float64(2.030205117651339e-06), np.float64(7.789199185204397e-07), np.float64(3.231734788417556e-07), np.float64(1.1016601765076828e-07)]"
9,100000,4,9.311430563506225e-07,5.065434455871582,1.607047087920836e-14,True,20,"[np.float64(63.25648814377035), np.float64(24.935818281007638), np.float64(4.259336586332218), np.float64(0.21274884624855098), np.float64(0.14479199965443165), np.float64(0.026621421131609365), np.float64(0.018691246796729465), np.float64(0.006103188622549995), np.float64(0.0021243252729994254), np.float64(0.0007018802838728121), np.float64(0.00028932577738197856), np.float64(0.00010672206362782017), np.float64(4.3802677062812545e-05), np.float64(1.645831573127783e-05), np.float64(6.771094901385701e-06), np.float64(2.5391426908102705e-06), np.float64(1.0353368788093504e-06), np.float64(3.991598700974345e-07), np.float64(1.4115361442318195e-07), np.float64(8.488964904541265e-08)]"
10,100000,8,9.21349572188196e-07,5.353044271469116,1.5764108291216913e-14,True,20,"[np.float64(63.24510375367954), np.float64(24.93869346354714), np.float64(4.2664249621128505), np.float64(0.2128926969552293), np.float64(0.14552161288288912), np.float64(0.026598965984483178), np.float64(0.01867208862976556), np.float64(0.006074466714988319), np.float64(0.002112903431028705), np.float64(0.0006960340621921323), np.float64(0.00028751864197530945), np.float64(0.00010580261689840722), np.float64(4.348899731285927e-05), np.float64(1.631154177042706e-05), np.float64(6.717808393455488e-06), np.float64(2.5176249349531724e-06), np.float64(1.0271880806647922e-06), np.float64(3.9555520952505546e-07), np.float64(1.3992982366995216e-07), np.float64(8.417416098182521e-08)]"
11,100000,12,9.258822852090915e-07,5.2420432567596436,1.5882233629874165e-14,True,20,"[np.float64(63.25071495377405), np.float64(24.937849801189692), np.float64(4.262178306638933), np.float64(0.2127724275318518), np.float64(0.1452352481527852), np.float64(0.02662019939905785), np.float64(0.018681482981447877), np.float64(0.006082663077842799), np.float64(0.002115500834202766), np.float64(0.0006980607610158596), np.float64(0.00028809567742689354), np.float64(0.00010611543025291237), np.float64(4.360207430394874e-05), np.float64(1.6363186507374363e-05), np.float64(6.736734247434206e-06), np.float64(2.5254520161871344e-06), np.float64(1.03008520972915e-06), np.float64(3.968441241991948e-07), np.float64(1.4031400342909462e-07), np.float64(8.439732082933363e-08)]"
