,n,mode,k,norm_gradient,time,final_score,converges,iterations,path
0,2,scalar,4,1.1656851627179053e-07,0.010994434356689453,6.600716268417648e-16,True,5,"[[-1.         -1.        ]
 [-0.67794803 -0.63439184]
 [-0.51296832 -0.45043846]
 [-0.45922644 -0.39176254]
 [-0.45335533 -0.38547474]
 [-0.45328926 -0.38540504]]"
1,2,scalar,8,1.0575664909188356e-07,0.010070562362670898,5.461812535576638e-16,True,5,"[[-1.         -1.        ]
 [-0.62248455 -0.58061982]
 [-0.5074263  -0.44404415]
 [-0.45855227 -0.39102855]
 [-0.4533461  -0.38546503]
 [-0.45328927 -0.38540506]]"
2,2,scalar,12,3.1881910035629555e-10,0.03961539268493652,3.708055880578627e-21,True,21,"[[-1.         -1.        ]
 [-0.99999997 -0.99999995]
 [-0.7799831  -0.99999994]
 [-0.77511537 -0.99999993]
 [-0.77511537 -0.34306177]
 [-0.05806995 -0.34306174]
 [-0.56646535 -0.41211536]
 [-0.56646535 -0.47262427]
 [-0.56646534 -0.47262425]
 [-0.45982661 -0.38984801]
 [-0.45982657 -0.38916038]
 [-0.45982653 -0.38916038]
 [-0.45301022 -0.38916035]
 [-0.45549284 -0.38916032]
 [-0.45549277 -0.38440509]
 [-0.45549274 -0.38667539]
 [-0.45549274 -0.38666973]
 [-0.45270376 -0.38666969]
 [-0.45328974 -0.38540577]
 [-0.45328974 -0.38540573]
 [-0.45328974 -0.38540569]
 [-0.45328926 -0.38540505]]"
3,2,adaptive,4,1.1656851627179053e-07,0.00997161865234375,6.600716268417648e-16,True,5,"[[-1.         -1.        ]
 [-0.67794803 -0.63439184]
 [-0.51296832 -0.45043846]
 [-0.45922644 -0.39176254]
 [-0.45335533 -0.38547474]
 [-0.45328926 -0.38540504]]"
4,2,adaptive,8,1.0575664909188356e-07,0.009748697280883789,5.461812535576638e-16,True,5,"[[-1.         -1.        ]
 [-0.62248455 -0.58061982]
 [-0.5074263  -0.44404415]
 [-0.45855227 -0.39102855]
 [-0.4533461  -0.38546503]
 [-0.45328927 -0.38540506]]"
5,2,adaptive,12,3.1881910035629555e-10,0.038849592208862305,3.708055880578627e-21,True,21,"[[-1.         -1.        ]
 [-0.99999997 -0.99999995]
 [-0.7799831  -0.99999994]
 [-0.77511537 -0.99999993]
 [-0.77511537 -0.34306177]
 [-0.05806995 -0.34306174]
 [-0.56646535 -0.41211536]
 [-0.56646535 -0.47262427]
 [-0.56646534 -0.47262425]
 [-0.45982661 -0.38984801]
 [-0.45982657 -0.38916038]
 [-0.45982653 -0.38916038]
 [-0.45301022 -0.38916035]
 [-0.45549284 -0.38916032]
 [-0.45549277 -0.38440509]
 [-0.45549274 -0.38667539]
 [-0.45549274 -0.38666973]
 [-0.45270376 -0.38666969]
 [-0.45328974 -0.38540577]
 [-0.45328974 -0.38540573]
 [-0.45328974 -0.38540569]
 [-0.45328926 -0.38540505]]"
6,1000,scalar,4,1.1283763396523283e-06,0.030673742294311523,3.5919561472972944e-14,True,9,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.70414738 -0.79208641 -0.79293933 ... -0.78213999 -0.76459937
  -0.63523886]
 [-0.58877296 -0.69832916 -0.71234877 ... -0.68531836 -0.63623348
  -0.46452016]
 ...
 [-0.57076134 -0.6819102  -0.70248581 ... -0.66579679 -0.59603598
  -0.41641322]
 [-0.57076122 -0.68191014 -0.70248599 ... -0.66579741 -0.59603541
  -0.41641244]
 [-0.5707612  -0.68191013 -0.70248602 ... -0.66579751 -0.59603533
  -0.41641232]]"
7,1000,scalar,8,1.0506027122230543e-06,0.029639244079589844,3.2034906677469395e-14,True,9,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.68452374 -0.81862623 -0.81635294 ... -0.78959013 -0.74759187
  -0.56831224]
 [-0.58782555 -0.70620826 -0.72451267 ... -0.68341764 -0.62732156
  -0.44919359]
 ...
 [-0.57076114 -0.68191021 -0.70248628 ... -0.66579705 -0.59603544
  -0.41641264]
 [-0.57076118 -0.68191014 -0.70248606 ... -0.66579745 -0.59603533
  -0.41641235]
 [-0.57076119 -0.68191013 -0.70248603 ... -0.66579751 -0.59603532
  -0.41641231]]"
8,1000,scalar,12,93.78209022493894,3.3096017837524414,213.9930375357308,False,1000,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.99999998 -0.99999998 -0.99999999 ... -0.99999999 -0.99999999
  -0.99999998]
 [-0.99994792 -0.99999998 -0.99999999 ... -0.99999999 -0.99999999
  -0.99999998]
 ...
 [-0.60312172 -0.70371514 -0.72997237 ... -0.65927415 -0.58765411
  -0.42010725]
 [-0.60312172 -0.70371514 -0.72997237 ... -0.65927415 -0.58765411
  -0.42010725]
 [-0.60312172 -0.70371514 -0.72997237 ... -0.65927415 -0.58765411
  -0.42010725]]"
9,1000,adaptive,4,1.1283763396523283e-06,0.030358314514160156,3.5919561472972944e-14,True,9,"[[-1.         -1.         -1.         ... -1.         -1.
  -1.        ]
 [-0.70414738 -0.79208641 -0.79293933 ... -0.78213999 -0.76459937
  -0.63523886]
 [-0.58877296 -0.69832916 -0.71234877 ... -0.68531836 -0.63623348
  -0.46452016]
 ...
 [-0.57076134 -0.6819102  -0.70248581 ... -0.66579679 -0.59603598
  -0.41641322]
 [-0.57076122 -0.68191014 -0.70248599 ... -0.66579741 -0.59603541
  -0.41641244]
 [-0.5707612  -0.68191013 -0.70248602 ... -0.66579751 -0.59603533
  -0.41641232]]"
