,method,tol,n,time,iterations,converges,final_score,norm_gradient
0,Newton,0.0001,2,0.034427738189697264,33.0,True,4.926347622135051e-13,9.525781459960826e-06
1,Newton,0.0001,1000,0.15188961029052733,55.2,True,0.0004619383699189154,0.0004074960384311113
2,Newton,0.0001,10000,0.21633625030517578,33.0,True,0.0008627003853412063,0.00031021973103089134
3,Newton,0.0001,100000,0.8630260467529297,12.6,True,0.02942766034571217,0.0023268301504774298
4,Newton,1e-05,2,0.03461441993713379,33.4,True,2.8046319780625435e-14,2.0450439837103188e-06
5,Newton,1e-05,1000,0.1527322292327881,57.2,True,6.164498467785856e-05,4.923356003461579e-05
6,Newton,1e-05,10000,0.2599076747894287,34.8,True,0.00013985349679876234,4.302529627341364e-05
7,Newton,1e-05,100000,1.0235785484313964,15.0,True,0.0023570886711339343,0.00016975166770883467
8,Newton,1e-06,2,0.03596658706665039,33.8,True,1.1646677114835388e-17,3.452970749612627e-08
9,Newton,1e-06,1000,0.15672478675842286,59.2,True,7.978229262423806e-06,6.010780547359555e-06
10,Newton,1e-06,10000,0.3034543514251709,36.8,True,1.8959375631101445e-05,5.123462334670954e-06
11,Newton,1e-06,100000,1.2255470275878906,17.6,True,0.00019734642923884913,1.3526625800823556e-05
12,Newton,1e-08,2,0.03515610694885254,34.0,True,1.4086564210937515e-26,1.8855775424458097e-12
13,Newton,1e-08,1000,0.1646069049835205,63.2,True,9.645545075616806e-08,9.236188161899715e-08
14,Newton,1e-08,10000,0.3831305503845215,40.6,True,3.776758198028504e-07,9.131178975018025e-08
15,Newton,1e-08,100000,1.7146409034729004,22.0,True,2.171698251900204e-06,1.4274590605791368e-07
